,Email,Code_Postal,Ville,Entreprise_name
0,info@bvmac-ac.org,B.P. 442, DOUALA, BOURSE DES VALEURS MOBILIÈRES DE L’AFRIQUE CENTRALE (BVMAC)
1,3t@tafinvestment.com,B.P. 12554, DOUALA,3T CAMEROUN
2,,B.P. 13222, DOUALA,ABB (ASEA BROWN BOVERI)
3,contact@abioget.org,127, MAROUA,ABIOGeT
4,ac2p2013@gmail.com,B.P. 8722, DOUALA,AC2P (ASSOCIATION CAMEROUNAISE DES PROFESSIONNELS DE LA PLASTURGIE )
5,directiongenerale@acamvie.com,B.P 2000, DOUALA,ACAM VIE S.A
6,acamet.cam@gmail.com,5773, Douala,ACAMET
7,baoace@yahoo.fr,B.P. 2439, DOUALA,ACE (African Consulting Entreprise)
8,activa.assur@group-activa.com,B.P. 12970, DOUALA,ACTIVA ASSURANCES
9,philomen.edjimbi@cm.addaxpetroleum.com,B.P. 2273, DOUALA,ADDAX PETROLEUM CAMEROON Ltd
10,Douala,"Rue des Ministres, Bonanjo",B.P. 829,ADIC (African Distilling Company SA)
11,Yaoundé,Bastos Ecole Publique,,AFRICA BUSINESS CENTER
12,,,,AFRICA PREMIUM CONSULTING
13,adic2@yahoo.fr,B.P.2199, DOUALA,AFRICA WORKS
14,contact@africa-business-centers.com,, YAOUNDE,AFRICAN TRADING COMPANY Sarl
15,africa.hstandards@gmail.com,, ,AFRILAND FIRST BANK
16,africaworks2006@yahoo.fr,, DOUALA,AFRIMAR S.A.
17,atc@bellesgraines.com,5727, Douala,AFRIQUE AUDIT CONSEIL
18,firstbank@afrilandfirstbank.com; nafalph@yahoo.fr,B.P. 11834, YAOUNDE,AFRO PETRO & BUSINESS SOLUTIONS
19,afrimarsa@afrimarsa.com,B.P.15448, DOUALA,AG PARTNERS CAMEROUN PUBLICIS AFRICA GROUP
20,contact@aacbti.com,B.P: 15223, DOUALA,AGGREKO CAMEROUN Ltd
21,enquiries@afropbs.com,B.P: 12777, DOUALA,AGPC (Association pharmaceutique des grossistes du Cameroun)
22,info@ag-partners.com,B.P. 12555, DOUALA,AGROCHEM
23,Douala,"Rue des Ministres, Bonanjo",B.P. 829,AIGLE VOYAGES
24,Yaoundé,Bastos Ecole Publique,,AJ AND PARTNERS
25,,,,AJC GRAPHIC
26,line.tcheng@aggreko.ae,B.P. 13027, DOUALA,AKWA PALACE 
27,prosperhiag@yahoo.fr,B.P.12554, DOUALA,ALIOS FINANCES CAMEROUN
28,"agrochem.cm@gmail.com, agrochem.cm@gmail.com",5624, DOUALA,ALLIANZ CAMEROUN
29,"bjeanne.sangang@aigle_voyages.com , sabetty@yahoo.fr",, Douala,ALM CONSULTANTS
30,ajfoodappro@outlook.fr,, Douala,ALPICAM (Alpi Pietro et Fils Cameroun Sarl)
31,info@ajcgraphic.com,, DOUALA,ALUCAM (Aluminium du Cameroun)
32,contact@hotel-akwa-palace.com,B.P. 4007, DOUALA,AMD Sarl (Aciers et Métaux Divers)
33,cameroun@alios-finance.com,B.P.554, DOUALA,ANEMCAM (Association Nationale des Etablissements de Microfinance du Cameroun)
34,allianz.cameroun@allianz-cm.com,B.P.105, DOUALA,APAVE CAMEROUN
35,alm@almconsultants.com,B.P.2584, DOUALA,APECCAM (Association Professionnelle des Etablissements de Crédit du Cameroun)
36,Douala,"Rue des Ministres, Bonanjo",B.P. 829,APM SA (Agence de Prestations Maritimes)
37,Yaoundé,Bastos Ecole Publique,,AREA ASSURANCES
38,,,,ARNO SA
39,giorgio.giorgetti@alpiwood.com,B.P. 2130, DOUALA,ASAC (ASSOCIATION DES SOCIETES D'ASSURANCES DU CAMEROUN)
40,communication.alucam@groupealucam.com,B.P. 1090, DOUALA,ASCESE
41,amd@aciersetmetaux.com,B.P: 5512, DOUALA,ASCOMA CAMEROUN
42,gabriel.nzoyem@yahoo.com ,, Yaoundé,ASQUINI ENCORAD
43,apave.contact@apavecameroun.com,B.P. 129, DOUALA,AT GRAPHILINE INDUSTRY
44,apeccam@camnet.cm,B.P. 133, YAOUNDE,ATLANTIQUE ASSURANCES CAMEROUN-IARDT
45,info@apmmaritime.com,BP 12610, DOUALA,AUDITEC FOIRIER CONSULTING S.A
46,area@areaassurance.com,B.P. 15584, DOUALA,AURORE  METAL INDUSTRY Sarl
47,info@groupearno.com,664, Douala,AUTOHAUS S.A.
48,asac_douala@yahoo.fr,B.P 1136, DOUALA,AUTORITE PORTUAIRE NATIONALE
49,Douala,"Rue des Ministres, Bonanjo",B.P. 829,AVILYOS
50,Yaoundé,Bastos Ecole Publique,,AWEP (African Women Entrepreneurship Program)
51,,,,AXA ASSURANCES CAMEROUN
52,ascesecom@yahoo.fr,B.P. 15470, DOUALA,B&C (BRAND & CONSUMERS)
53,cameroun@ascoma.com; grace.mbongo@ascoma.com,B.P. 544, DOUALA,BANQUE ATLANTIQUE CAMEROUN
54,info@asquini-encorad.com,B.P. 1033, DOUALA,BAT CAMEROUN
55,graphiline@yahoo.fr / graphiline@at-graphiline.com,12471, DOUALA,BAT TRANSIT AND SERVICE Cie
56,contact@atlantiqueassurances.com,, Douala,BB VISION
57,info@auditechc-foirier.com,B.P.443, DOUALA,BENEFICIAL LIFE INSURANCE S.A
58,auroreservicesexpress@yahoo.fr,, DOUALA,BERYO International
59,contact@autohaus-cameroon.com,B.P. 15512, DOUALA,BGFI BANK CAMEROUN
