Unnamed: 0,Entreprise_name,other_link
0, BOURSE DES VALEURS MOBILIÈRES DE L’AFRIQUE CENTRALE (BVMAC),/index.php/p/douala-stock-exchange-dsx
1,3T CAMEROUN,/index.php/p/3t-cameroun-1
2,ABB (ASEA BROWN BOVERI),/index.php/p/abb-asea-brown-boveri
3,ABIOGeT,/index.php/p/abioget
4,AC2P (ASSOCIATION CAMEROUNAISE DES PROFESSIONNELS DE LA PLASTURGIE ),/index.php/p/ac2p-association-camerounaise-des-professionnels-de-la-plasturgie
5,ACAM VIE S.A,/index.php/p/acam-vie-sa
6,ACAMET,/index.php/p/acamet
7,ACE (African Consulting Entreprise),/index.php/p/ace-african-consulting-entreprise
8,ACTIVA ASSURANCES,/index.php/p/activa-assurances
9,ADDAX PETROLEUM CAMEROON Ltd,/index.php/p/addax-petroleum-cameroon-ltd
10,ADIC (African Distilling Company SA),/index.php/p/adic-african-distilling-company-sa
11,AFRICA BUSINESS CENTER,/index.php/p/africa-business-center
12,AFRICA PREMIUM CONSULTING,/index.php/p/africa-premium-consulting
13,AFRICA WORKS,/index.php/p/africa-works
14,AFRICAN TRADING COMPANY Sarl,/index.php/p/african-trading-company-sarl
15,AFRILAND FIRST BANK,/index.php/p/afriland-first-bank
16,AFRIMAR S.A.,/index.php/p/afrimar-sa
17,AFRIQUE AUDIT CONSEIL,/index.php/p/afrique-audit-conseil
18,AFRO PETRO & BUSINESS SOLUTIONS,/index.php/p/afro-petro-business-solutions
19,AG PARTNERS CAMEROUN PUBLICIS AFRICA GROUP,/index.php/p/ag-partners-cameroun-publicis-africa-group
20,AGGREKO CAMEROUN Ltd,/index.php/p/aggreko-cameroun-ltd
21,AGPC (Association pharmaceutique des grossistes du Cameroun),/index.php/p/agpc-association-pharmaceutique-des-grossistes-du-cameroun
22,AGROCHEM,/index.php/p/agrochem
23,AIGLE VOYAGES,/index.php/p/aigle-voyages
24,AJ AND PARTNERS,/index.php/p/aj-and-partners
25,AJC GRAPHIC,/index.php/p/ajc-graphic
26,AKWA PALACE ,/index.php/p/akwa-palace-pullman
27,ALIOS FINANCES CAMEROUN,/index.php/p/alios-finances-cameroun
28,ALLIANZ CAMEROUN,/index.php/p/allianz-cameroun
29,ALM CONSULTANTS,/index.php/p/alm-consultants
30,ALPICAM (Alpi Pietro et Fils Cameroun Sarl),/index.php/p/alpicam-alpi-pietro-et-fils-cameroun-sarl
31,ALUCAM (Aluminium du Cameroun),/index.php/p/alucam-aluminium-du-cameroun
32,AMD Sarl (Aciers et Métaux Divers),/index.php/p/amd-sarl-aciers-et-metaux-divers
33,ANEMCAM (Association Nationale des Etablissements de Microfinance du Cameroun),/index.php/p/anemcam-association-nationale-des-etablissements-de-microfinance-du-cameroun
34,APAVE CAMEROUN,/index.php/p/apave-cameroun
35,APECCAM (Association Professionnelle des Etablissements de Crédit du Cameroun),/index.php/p/apeccam-association-professionnelle-des-etablissements-de-credit-du-cameroun
36,APM SA (Agence de Prestations Maritimes),/index.php/p/apm-sa-agence-de-prestations-maritimes
37,AREA ASSURANCES,/index.php/p/area-assurances
38,ARNO SA,/index.php/p/arno-sa
39,ASAC (ASSOCIATION DES SOCIETES D'ASSURANCES DU CAMEROUN),/index.php/p/asac-association-des-societes-dassurances-du-cameroun
40,ASCESE,/index.php/p/ascese
41,ASCOMA CAMEROUN,/index.php/p/ascoma-cameroun
42,ASQUINI ENCORAD,/index.php/p/asquini-encorad
43,AT GRAPHILINE INDUSTRY,/index.php/p/at-graphiline-industry
44,ATLANTIQUE ASSURANCES CAMEROUN-IARDT,/index.php/p/atlantique-assurances-cameroun-iardt
45,AUDITEC FOIRIER CONSULTING S.A,/index.php/p/auditec-foirier-consulting-sa
46,AURORE  METAL INDUSTRY Sarl,/index.php/p/aurore-express-services-sarl
47,AUTOHAUS S.A.,/index.php/p/autohaus-sa
48,AUTORITE PORTUAIRE NATIONALE,/index.php/p/autorite-portuaire-nationale
49,AVILYOS,/index.php/p/tnt-africa-cameroun
50,AWEP (African Women Entrepreneurship Program),/index.php/p/awep-african-women-entrepreneurship-program
51,AXA ASSURANCES CAMEROUN,/index.php/p/axa-assurances-cameroun
52,B&C (BRAND & CONSUMERS),/index.php/p/bc-brand-consumers
53,BANQUE ATLANTIQUE CAMEROUN,/index.php/p/banque-atlantique-cameroun
54,BAT CAMEROUN,/index.php/p/bat-cameroun
55,BAT TRANSIT AND SERVICE Cie,/index.php/p/bat-transit-and-service-cie
56,BB VISION,/index.php/p/bb-vision
57,BENEFICIAL LIFE INSURANCE S.A,/index.php/p/beneficial-general-insurance-sa
58,BERYO International,/index.php/p/beryo-international
59,BGFI BANK CAMEROUN,/index.php/p/bgfi-bank-cameroun
60,BIA Cameroun S.A.,/index.php/p/bia-cameroun-sa
61,BICEC,/index.php/p/bicec
62,BIOTROPICAL,/index.php/p/biotropical
63,BLESSING PETROLEUM SA,/index.php/p/blessing-petroleum-sa
64,BOCOM INTERNATIONAL,/index.php/p/bocom-international
65,BOLLORE TRANSPORTS & LOGISTICS CAMEROUN,/index.php/p/bollore-africa-logistics-cameroun
66,BOLUDA Cameroun,/index.php/p/boluda-cameroun
67,BPS (BUSINESS & PARTNERS SERVICES SARL),/index.php/p/bps-business-partners-services-sarl
68,BRAIN CONSULTING,/index.php/p/brain-consulting
69,BUETEC BRODERIE SARL,/index.php/p/buetec-broderie-sarl
70,BUNS (SOCIETE BUNS),/index.php/p/buns-societe-buns
